type,seq,remote,client_send_ns,server_recv_ns,payload_bytes,server_proc_ms,payload_len,server_log_ns
MSG,-1,/192.168.1.11:34030,497041930806,584467978367,1024,0.000135,1024,584471565957
MSG,-1,/192.168.1.11:34030,497128535945,584508207282,1024,0.000126,1024,584508418464
MSG,-1,/192.168.1.11:34030,497144643768,584524259190,1024,0.000124,1024,584524453885
MSG,-1,/192.168.1.11:34030,497154873903,584534140601,1024,0.000159,1024,584534364660
MSG,-1,/192.168.1.11:34030,497257223646,584638790416,1024,0.000107,1024,584639290687
MSG,1,/192.168.1.11:34030,497269948442,584657685027,1024,0.000113,1024,584657871916
MSG,2,/192.168.1.11:34030,497288170250,584667880302,1024,0.000053,1024,584668033399
MSG,3,/192.168.1.11:34030,497296087835,584675250503,1024,0.000113,1024,584675425465
MSG,4,/192.168.1.11:34030,497304635721,584684140756,1024,0.000118,1024,584684315728
MSG,5,/192.168.1.11:34030,497324536093,584703854768,1024,0.000213,1024,584704054397
MSG,6,/192.168.1.11:34030,497332969626,584712218305,1024,0.000061,1024,584712607482
MSG,7,/192.168.1.11:34030,497340750779,584719742472,1024,0.000113,1024,584719964704
MSG,8,/192.168.1.11:34030,497348606322,584728178187,1024,0.000068,1024,584728320624
MSG,9,/192.168.1.11:34030,497356756471,584736341901,1024,0.000164,1024,584736615575
MSG,10,/192.168.1.11:34030,497365841419,584745452470,1024,0.000081,1024,584745956422
MSG,11,/192.168.1.11:34030,497377775835,584757101177,1024,0.000060,1024,584757249696
MSG,12,/192.168.1.11:34030,497387145030,584766212837,1024,0.000068,1024,584766362733
MSG,13,/192.168.1.11:34030,497397211689,584776910459,1024,0.000117,1024,584777076244
MSG,14,/192.168.1.11:34030,497406287179,584785373624,1024,0.000199,1024,584785626381
MSG,15,/192.168.1.11:34030,497419177984,584798398944,1024,0.000100,1024,584798716597
MSG,16,/192.168.1.11:34030,497432225547,584811695412,1024,0.000123,1024,584812200747
MSG,17,/192.168.1.11:34030,497443719946,584822829605,1024,0.000052,1024,584822979234
MSG,18,/192.168.1.11:34030,497451138507,584830656744,1024,0.000061,1024,584830800202
MSG,19,/192.168.1.11:34030,497464669663,584844102247,1024,0.000069,1024,584844421266
MSG,20,/192.168.1.11:34030,497473941964,584853406522,1024,0.000058,1024,584853553285
MSG,21,/192.168.1.11:34030,497482286159,584861926175,1024,0.000063,1024,584862071283
MSG,22,/192.168.1.11:34030,497491317758,584870707825,1024,0.000059,1024,584870846928
MSG,23,/192.168.1.11:34030,497500597983,584880403573,1024,0.000097,1024,584880639358
MSG,24,/192.168.1.11:34030,497514842733,584894769951,1024,0.000050,1024,584894961371
MSG,25,/192.168.1.11:34030,497533309907,584914653546,1024,0.000057,1024,584914793499
MSG,26,/192.168.1.11:34030,497545355193,584924739029,1024,0.000073,1024,584925280085
MSG,27,/192.168.1.11:34030,497555088757,584934300528,1024,0.000097,1024,584934574650
MSG,28,/192.168.1.11:34030,497571185912,584950773344,1024,0.000090,1024,584950958537
MSG,29,/192.168.1.11:34030,497583404325,584963146094,1024,0.000052,1024,584963382734
MSG,30,/192.168.1.11:34030,497596172409,584976431332,1024,0.000090,1024,584976594974
MSG,31,/192.168.1.11:34030,497605941184,584985582251,1024,0.000108,1024,584986383584
MSG,32,/192.168.1.11:34030,497624609222,585004369471,1024,0.000094,1024,585004572547
MSG,33,/192.168.1.11:34030,497632774310,585012307490,1024,0.000048,1024,585012449400
MSG,34,/192.168.1.11:34030,497641214653,585020744049,1024,0.000113,1024,585020917483
MSG,35,/192.168.1.11:34030,497650719142,585030273586,1024,0.000050,1024,585030461473
MSG,36,/192.168.1.11:34030,497661202910,585040899608,1024,0.000145,1024,585041226119
MSG,37,/192.168.1.11:34030,497670416203,585050176099,1024,0.000050,1024,585050486940
MSG,38,/192.168.1.11:34030,497683057745,585064453399,1024,0.000113,1024,585064673815
MSG,39,/192.168.1.11:34030,497695339609,585074520070,1024,0.000043,1024,585074743987
MSG,40,/192.168.1.11:34030,497704904556,585085162697,1024,0.000252,1024,585085532126
MSG,41,/192.168.1.11:34030,497716239873,585096770773,1024,0.000060,1024,585096951439
MSG,42,/192.168.1.11:34030,497730408536,585111260309,1024,0.000096,1024,585111523232
MSG,43,/192.168.1.11:34030,497742483590,585122400115,1024,0.000091,1024,585123126138
MSG,44,/192.168.1.11:34030,497752248863,585132366364,1024,0.000147,1024,585132638344
MSG,45,/192.168.1.11:34030,497760835885,585140806039,1024,0.000118,1024,585141159279
MSG,46,/192.168.1.11:34030,497769508415,585149193153,1024,0.000118,1024,585149499640
MSG,47,/192.168.1.11:34030,497777460732,585157602126,1024,0.000137,1024,585157838922
MSG,48,/192.168.1.11:34030,497788228931,585168365625,1024,0.000099,1024,585168544254
MSG,49,/192.168.1.11:34030,497800167649,585179888740,1024,0.000140,1024,585181764297
MSG,50,/192.168.1.11:34030,497812511994,585193233550,1024,0.000169,1024,585193875134
MSG,51,/192.168.1.11:34030,497828284680,585208123561,1024,0.000131,1024,585208325261
MSG,52,/192.168.1.11:34030,497838508260,585219523630,1024,0.000072,1024,585220171338
MSG,53,/192.168.1.11:34030,497852253713,585232369279,1024,0.000085,1024,585232587423
MSG,54,/192.168.1.11:34030,497862660833,585242971641,1024,0.000050,1024,585243181122
MSG,55,/192.168.1.11:34030,497880441545,585260099474,1024,0.000081,1024,585260457925
MSG,56,/192.168.1.11:34030,497892628064,585272662016,1024,0.000084,1024,585273071114
MSG,57,/192.168.1.11:34030,497902812937,585284464593,1024,0.000161,1024,585285021864
MSG,58,/192.168.1.11:34030,497917858268,585298665107,1024,0.000154,1024,585298955379
MSG,59,/192.168.1.11:34030,497930847825,585312698051,1024,0.000248,1024,585313237467
MSG,60,/192.168.1.11:34030,497946448024,585327101248,1024,0.000094,1024,585327274749
MSG,61,/192.168.1.11:34030,497955510427,585335338561,1024,0.000096,1024,585335556245
MSG,62,/192.168.1.11:34030,497963455833,585343203980,1024,0.000105,1024,585343347489
MSG,63,/192.168.1.11:34030,497971013282,585351496431,1024,0.000160,1024,585352054434
MSG,64,/192.168.1.11:34030,497984504514,585364552461,1024,0.000320,1024,585364844528
MSG,65,/192.168.1.11:34030,497996938383,585377629820,1024,0.000189,1024,585377836951
MSG,66,/192.168.1.11:34030,498010262027,585392427324,1024,0.000210,1024,585392755082
MSG,67,/192.168.1.11:34030,498023433338,585404753207,1024,0.000244,1024,585405220654
MSG,68,/192.168.1.11:34030,498034017016,585414001467,1024,0.000161,1024,585414366995
MSG,69,/192.168.1.11:34030,498048118551,585428044045,1024,0.000152,1024,585428227086
